player_id,player_name,team,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
20271,"Bijan Robinson",ATL,17,303,1422,12,62,490,2,0,0,0,0,2.64
16062,"Saquon Barkley",PHI,17,332,1600,11,48,378,2,0,0,0,0,4.89
15222,"Christian McCaffrey",SF,17,261,1189,9,72,612,3,0,0,0,0,12.36
20272,"Jahmyr Gibbs",DET,17,235,1154,11,60,568,3,0,0,0,0,4.3
20284,"De'Von Achane",MIA,17,218,999,9,74,560,4,0,0,0,0,13.85
22055,"Ashton Jeanty",LV,17,273,1248,8,63,483,2,0,0,0,0,10.62
17962,"Jonathan Taylor",IND,17,342,1578,11,33,250,1,0,0,0,0,22.6
21136,"Bucky Irving",TB,17,263,1235,8,53,410,3,0,0,0,0,21.03
16998,"Josh Jacobs",GB,17,301,1289,12,42,329,2,0,0,0,0,22.79
20292,"Chase Brown",CIN,17,256,1081,9,64,427,2,0,0,0,0,25.03
15055,"Derrick Henry",BLT,17,326,1529,15,18,157,1,0,0,0,0,13.83
19450,"Kyren Williams",LAR,17,313,1377,12,36,235,2,0,0,0,0,27.98
19467,"James Cook",BUF,17,264,1232,12,37,284,2,0,0,0,0,38.91
15293,"Alvin Kamara",NO,17,216,916,6,71,575,2,0,0,0,0,48.13
22069,"Omarion Hampton",LAC,17,255,1144,11,41,300,2,0,0,0,0,40.83
18773,"Chuba Hubbard",CAR,17,275,1237,8,48,292,1,0,0,0,0,48.87
15306,"James Conner",ARZ,17,232,1048,9,46,344,2,0,0,0,0,57.39
17961,"D'Andre Swift",CHI,17,252,1035,8,37,294,1,0,0,0,0,69.75
19427,"Breece Hall",NYJ,17,228,1009,5,45,387,2,0,0,0,0,34.99
22072,"TreVeyon Henderson",NE,17,223,992,6,43,329,2,0,0,0,0,57.35
17016,"David Montgomery",DET,17,206,850,10,36,272,1,0,0,0,0,66.78
15392,"Aaron Jones",MIN,17,180,797,4,52,390,3,0,0,0,0,74.41
19486,"Isiah Pacheco",KC,17,209,887,7,43,301,2,0,0,0,0,76.57
17067,"Tony Pollard",TEN,17,229,988,5,45,293,1,0,0,0,0,77.34
21183,"Tyrone Tracy Jr.",NYG,17,218,949,6,39,297,2,0,0,0,0,89.8
19833,"Jaylen Warren",PIT,17,160,709,4,56,407,2,0,0,0,0,97.67
22111,"RJ Harvey",DEN,17,183,814,5,46,353,2,0,0,0,0,79.55
16066,"Joe Mixon",HST,13,192,814,8,32,265,2,0,0,0,0,72.67
22098,"Kaleb Johnson",PIT,17,229,975,7,25,180,1,0,0,0,0,72.02
18791,"Rhamondre Stevenson",NE,17,186,776,7,29,199,2,0,0,0,0,123.1
22062,"Quinshon Judkins",CLV,15,193,841,5,31,222,1,0,0,0,0,110.17
17963,"J.K. Dobbins",DEN,17,157,707,5,38,252,1,0,0,0,0,113.17
18771,"Javonte Williams",DAL,17,162,642,6,36,240,1,0,0,0,0,117.69
15896,"Austin Ekeler",WAS,17,80,347,4,51,421,2,0,0,0,0,169.27
20329,"Tyjae Spears",TEN,17,133,561,4,40,299,1,0,0,0,0,138.88
18770,"Travis Etienne",JAX,17,129,532,3,44,333,1,0,0,0,0,99.34
20279,"Tank Bigsby",JAX,17,182,793,6,17,122,0,0,0,0,0,138.63
22077,"Cam Skattebo",NYG,17,147,635,4,28,209,1,0,0,0,0,119.92
19468,"Brian Robinson Jr.",WAS,17,146,614,6,17,127,1,0,0,0,0,90.18
19436,"Rachaad White",TB,17,116,496,3,32,231,2,0,0,0,0,149.94
19872,"Jordan Mason",MIN,17,176,815,4,13,89,0,0,0,0,0,106.5
21135,"Trey Benson",ARZ,17,138,608,4,21,154,1,0,0,0,0,146.31
19469,"Zach Charbonnet",SEA,17,106,459,3,26,187,0,0,0,0,0,107.71
16067,"Nick Chubb",HST,17,139,607,5,10,80,0,0,0,0,0,181.96
17020,"Justice Hill",BLT,17,41,185,1,38,316,2,0,0,0,0,202.11
19443,"Jerome Ford",CLV,17,98,450,2,25,169,1,0,0,0,0,173.65
22092,"Jaydon Blue",DAL,17,104,434,3,23,160,1,0,0,0,0,156.99
19441,"Tyler Allgeier",ATL,17,121,551,4,11,75,0,0,0,0,0,168.11
21160,"Jaylen Wright",MIA,17,105,445,3,18,129,1,0,0,0,0,167.59
18826,"Najee Harris",LAC,17,113,457,4,13,87,0,0,0,0,0,122.18
20334,"Roschon Johnson",CHI,17,74,302,4,19,119,0,0,0,0,0,193.09
21178,"Isaac Guerendo",SF,17,113,495,4,6,48,0,0,0,0,0,147.77
22130,"Jacory Croskey-Merritt",WAS,17,97,400,4,12,88,1,0,0,0,0,218.07
21132,"Braelon Allen",NYJ,17,107,448,2,14,105,0,0,0,0,0,168.01
18036,"Rico Dowdle",CAR,17,75,338,2,21,149,1,0,0,0,0,169.14
21151,"Ray Davis",BUF,17,106,440,3,8,57,0,0,0,0,0,148.55
21144,"MarShawn Lloyd",GB,17,62,260,2,20,143,1,0,0,0,0,213.04
22109,"Woody Marks",HST,17,49,213,1,22,163,1,0,0,0,0,233.21
17039,"Miles Sanders",DAL,17,95,419,3,9,55,0,0,0,0,0,235.64
15281,"Kareem Hunt",KC,17,66,262,3,14,88,1,0,0,0,0,209.08
15362,"Samaje Perine",CIN,17,46,197,1,17,137,1,0,0,0,0,274.42
20304,"Kendre Miller",NO,17,75,320,2,11,75,0,0,0,0,0,243.53
22099,"Dylan Sampson",CLV,17,64,275,1,13,92,0,0,0,0,0,158.59
21141,"Will Shipley",PHI,17,56,240,2,11,76,0,0,0,0,0,208.91
18772,"Kenneth Gainwell",PIT,17,50,212,2,12,87,0,0,0,0,0,263.49
22106,"Bhayshul Tuten",JAX,17,52,226,1,13,92,0,0,0,0,0,159.17
17046,"Ty Johnson",BUF,17,34,149,1,14,138,1,0,0,0,0,274.01
20278,"Blake Corum",LAR,17,58,246,2,9,63,0,0,0,0,0,191.31
18840,"Elijah Mitchell",KC,17,50,215,2,9,62,0,0,0,0,0,262.21
13794,"Raheem Mostert",LV,17,47,205,1,9,62,0,0,0,0,0,246.11
17967,"Clyde Edwards-Helaire",NO,17,54,237,1,6,48,0,0,0,0,0,241.39
22119,"Kyle Monangai",CHI,17,52,214,2,4,28,0,0,0,0,0,250.14
22071,"Ollie Gordon II",MIA,17,40,167,1,5,33,0,0,0,0,0,239.3
20285,"Sean Tucker",TB,17,31,139,1,4,31,0,0,0,0,0,259.37
21161,"Isaiah Davis",NYJ,17,23,102,0,7,52,0,0,0,0,0,271.54
20344,"Keaton Mitchell",BLT,17,36,165,1,2,13,0,0,0,0,0,236.82
22104,"Devin Neal",NO,17,33,140,1,4,29,0,0,0,0,0,230.19
11911,"Kyle Juszczyk",SF,17,4,18,0,12,95,0,0,0,0,0,241.15
20719,"Emari Demercado",ARZ,17,13,61,0,10,69,0,0,0,0,0,243.58
22124,"Jarquez Hunter",LAR,17,31,135,1,4,31,0,0,0,0,0,216.95
20954,"Chris Brooks",GB,17,27,116,1,4,27,0,0,0,0,0,242.34
22094,"Trevor Etienne",CAR,17,24,103,0,4,30,0,0,0,0,0,272.88
20151,"Sincere McCormick",LV,17,24,101,1,5,31,0,0,0,0,0,250.19
15858,"Dare Ogunbowale",HST,17,11,45,0,7,54,0,0,0,0,0,241.6
22300,"Tahj Brooks",CIN,17,25,101,1,2,16,0,0,0,0,0,238.03
22096,"DJ Giddens",IND,17,14,58,0,6,39,0,0,0,0,0,225.02
22117,"Brashard Smith",KC,17,10,40,0,7,48,0,0,0,0,0,221.2
22097,"Jordan James",SF,17,22,90,1,2,16,0,0,0,0,0,257.64
17034,"Devin Singletary",NYG,17,17,71,0,4,26,0,0,0,0,0,275.08
21005,"Jaleel McLaughlin",DEN,17,13,58,0,4,27,0,0,0,0,0,257.91
21001,"Emanuel Wilson",GB,17,4,19,0,4,28,0,0,0,0,0,274.1
18034,"Antonio Gibson",NE,17,9,40,0,2,15,0,0,0,0,0,271.75
18830,"Khalil Herbert",IND,17,9,42,0,2,12,0,0,0,0,0,261.77
22118,"Kalel Mullings",TEN,17,10,43,0,2,15,0,0,0,0,0,242.29
22083,"Damien Martinez",SEA,17,9,37,0,2,15,0,0,0,0,0,259.56
19471,"Ty Chandler",MIN,17,6,24,0,2,15,0,0,0,0,0,241.18
17870,"Craig Reynolds",DET,17,5,20,0,2,17,0,0,0,0,0,243.34
21167,"Rasheen Ali",BLT,17,5,22,0,2,12,0,0,0,0,0,241.13
15441,"Jeremy McNichols",WAS,17,4,19,0,2,14,0,0,0,0,0,244.67
21169,"Kimani Vidal",LAC,17,4,18,0,2,15,0,0,0,0,0,256.72
21769,"Carson Steele",KC,17,4,16,0,2,15,0,0,0,0,0,240.98
21134,"Audric Estime",DEN,17,9,37,0,0,0,0,0,0,0,0,260.47
22090,"LeQuint Allen",JAX,17,4,17,0,0,0,0,0,0,0,0,250.61
19472,"Tyler Goodson",IND,17,0,0,0,0,0,0,0,0,0,0,244.67
21175,"Dylan Laube",LV,17,0,0,0,0,0,0,0,0,0,0,241.2